Year,Movie,Poster_URL,Genre,TMDb_Rating,TMDb_Vote_Count,Popularity_Score,Release_Date,Runtime_Minutes,Box_Office_USD,Director,Primary_Studio_or_Platform,Overview
2020,The Christmas Setup,https://image.tmdb.org/t/p/w500/e7QD0hOSQuvsZFRyu9LsvNkiYmF.jpg,"TV Movie, Drama, Romance",6.272,57,2.0079,2020-12-12,88,0,Pat Mills,"Neshama Entertainment, MarVista Entertainment, Wishing Floor Films","Follows the story of New York lawyer Hugo who heads to Milwaukee with his best friend Madelyn to spend the holidays with his brother Aiden and his mom Kate, who is also in charge of the local Christmas celebrations. Ever the matchmaker, Kate arranges for Hugo to run into Patrick, Hugo’s high school friend and secret crush, who has recently returned after a successful stint in Silicon Valley. As they enjoy the local holiday festivities together, Hugo and Patrick’s attraction to each other is undeniable and it looks as though Kate’s Santa-style matchmaking is a success. But as Hugo receives word of a big promotion requiring a move to London, he must decide what is most important to him."
2017,Snowed Inn Christmas,https://image.tmdb.org/t/p/w500/1GdsUysHya4mdlcZ1ALlBJ3nyqb.jpg,"Comedy, Romance, TV Movie",6.94,124,2.2188,2017-12-12,86,0,Gary Yates,"Julijette, Lifetime","Jenna Hudson and Kevin Jenner are polar opposites working for the same online publication in New York City. With both having nowhere they want to be for Christmas, they volunteer for a special writing assignment. After a snowstorm forces their plane to land in none other than Santa Claus, Indiana, the two are placed in a Christmas Wonderland and the focus of their story shifts to saving the historic town inn run by Carol and Christopher Winters. As the two overcome their differences, they also rediscover the magic of Christmas. But with the inn's fate in jeopardy and the return of someone from Jenna's past, Carol and Christopher lend a helping hand to bring Jenna and Kevin together."
2018,That Time of Year,https://image.tmdb.org/t/p/w500/2W1q5hCE67YIOTU8dOvSokGX5JX.jpg,"Drama, Comedy",6.368,34,2.0116,2018-11-08,101,0,Paprika Steen,"Film Fyn, Nordisk Film Denmark, Det Danske Filminstitut",From Danish director and actor Paprika Steen comes a caustic comedy about the deep-rooted grievances that can rip families apart -- and the ties that bind them together.
2016,My Christmas Love,https://image.tmdb.org/t/p/w500/o04ju703cCPxObouQqKBtmkBWWR.jpg,"TV Movie, Romance, Comedy",6.208,77,2.2501,2016-12-17,84,0,Jeff Fisher,,"A hopeless romantic who can’t ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas” as gifts anonymously at her door. As she tries to figure out who is sending the gifts, she begins to believe that the mystery suitor could finally live up to her expectations."
2023,Merry Christmas,https://image.tmdb.org/t/p/w500/dCSkwJ6a6c2KpnPFpB25Vu7iaz4.jpg,Comedy,5.445,64,1.9424,2023-12-06,87,0,Clément Michel,"Gaumont, TF1","Tomorrow is Christmas at Vincent and Beatrice Barand's house. Vincent is happy, it's his favorite day. Unfortunately, the whole family cancels at the last minute. Result: no children, no grandchildren... While Beatrice is looking forward to this intimate evening, he is overwhelmed and can't imagine a Christmas together. So he decides to go to a retirement home to invite a lonely resident to join them and share the Christmas spirit. Monique, 85 years old and obsessed with death, arrives... soon followed by Jeanne, a former prison guard with no filter. For all four of them, this December 24th promises to be as explosive as it is unexpected!"
2020,Never Kiss a Man in a Christmas Sweater,https://image.tmdb.org/t/p/w500/7VyM9eU0MoP4KA81meqt7UJoZAP.jpg,"Romance, Comedy, TV Movie",6.483,58,2.1129,2020-11-07,84,0,Allan Harmon,"Two 4 The Money Media, EveryWhere Studios, Christmas Sweater Productions",Single mom Maggie is facing Christmas alone until Lucas crashes into her life and becomes an unexpected house guest. Together they overcome Christmas while finding comfort in their growing bond.
2020,USS Christmas,https://image.tmdb.org/t/p/w500/kio6inuU0xXbtacJE5NgPYDedlf.jpg,"TV Movie, Mystery",6.8,46,2.1623,2020-11-28,84,0,Steven R. Monroe,"UFO International Productions, Hallmark Media","Maddie, a reporter for a Norfolk newspaper, embarks on a Tiger Cruise during Christmastime where she meets a handsome naval officer and stumbles upon a mystery in the ship’s archive room."
2018,Christmas Wonderland,https://image.tmdb.org/t/p/w500/3QwvhdOZSNJdHbHcL9aIwp3l9mD.jpg,"TV Movie, Romance",5.974,214,2.1577,2018-12-02,90,0,Sean Olson,"Production Media Films, Standing Room Only Cinema, Hybrid","Heidi, who initially left her small town of Pleasant Valley with the dream of one day becoming a successful painter, has put her own art on hold to excel as an art gallery curator. Now, a week before the gallery’s big Christmas party, she must return home to watch her niece and nephew. She comes face to face with her high school love, Chris, now a teacher, and offers to help him find a new last-minute location for the Christmas dance."
2008,Snow 2: Brain Freeze,https://image.tmdb.org/t/p/w500/Rnn2bXZZmUOyD80alueT0KoBWs.jpg,"Family, TV Movie, Comedy",5.6,27,2.1126,2008-12-14,86,0,Mark Rosman,,"When Nick gets amnesia, it's up to Sandy and Buddy the reindeer to save him and Christmas."
2018,One Winter Weekend,https://image.tmdb.org/t/p/w500/kgSG5ZMJG0BOUo0BJG7PIeSTwCy.jpg,"Romance, TV Movie",6.6,66,2.7251,2018-01-20,84,0,Gary Yates,"Hallmark Media, The Cartel","Cara, a women’s magazine writer, who gets burned by her boyfriend on New Years’ Eve, decides to go on a dating detox. Challenged by her employer to write about it, she hopes a spontaneous ski getaway with her best friend will spark inspiration. Complicating matters, they discover they’ve double booked their chalet with two eligible men, including Ben, an entrepreneur. When the share-mates get snowed in, Cara and Ben are thrown together."
2022,Winter Shadows,https://image.tmdb.org/t/p/w500/74OU1OZLlHN3qOs1fs5N59Lgnm0.jpg,Drama,0.0,0,1.7884,2022-06-24,20,0,Miriam Sunde,,"During Christmas 1944, twelve year old Tom discover a young German soldier playing music in a snow covered barn in the mountains."
2022,Loving Christmas,https://image.tmdb.org/t/p/w500/iWp6Q2UrTIbCV7EvQwMmhtABsDR.jpg,"TV Movie, Comedy, Romance, Family",5.357,21,2.168,2022-11-02,85,0,Michelle Ouellet,"CME Autum Productions, Reel One Entertainment, Lifetime","Ashley Mackenzie has always been the preeminent “Christmas Queen” in town. From making hand-crafted  decorations for the office to hosting the town’s annual Christmas sweater competition, she loves everything about the holiday. That is, until she meets her match in Ben Williams, a devilishly handsome new guy in town, who loves Christmas just as much as she does – and unwittingly begins to steal her thunder."
2000,Cabin Fever,https://image.tmdb.org/t/p/w500/hu80jE3gUcN0xTCLQwsxzcY6xh.jpg,Drama,6.125,8,1.9025,2000-11-24,102,0,Mona J. Hoel,Freedom from Fear,"The entire extended family is happily on its way to a nostalgic Christmas at a rented cabin in the mountains. The cabin becomes cramped, however, when mom and dad and four grown-up children with their respective families, a dog and in-laws from Poland squeeze inside the frozen cabin walls in 30-below-zero weather."
2016,Christmas Cookies,https://image.tmdb.org/t/p/w500/ut0buWDVWX3xOdFco7ODrmHeVWh.jpg,"TV Movie, Romance, Drama",5.969,80,2.0266,2016-11-13,84,0,James Head,"Sodona Entertainment, Hallmark Media, Storybox Entertainment","Aunt Sally's Christmas Cookie Company is sold to a large conglomerate and executive Hannah must seal the deal and shut down the factory, which is the small town of Cookie Jar's lifeblood. What was supposed to be a simple assignment for Hannah becomes complicated when she meets Jake, the factory owner who's determined to keep the factory in town. Despite not being a fan of the holiday, the Christmas spirit in this small town is infectious and she gets swept up in the joy of the season while also falling in love with Jake."
2017,La visita,,"Comedy, Drama",0.0,0,1.5493,2017-12-14,0,0,Javier Ruiz de Arcaute,"The Lemon Juice, Telva",
2018,Once Upon a Christmas Miracle,https://image.tmdb.org/t/p/w500/aSY8EsGoo9GmQrzOm0dEbQ3BYHX.jpg,"Romance, Drama, TV Movie, Comedy",6.6,56,1.9519,2018-12-02,90,0,Gary Yates,The Cartel,"Told she would have less than a few months to live without a liver transplant, Heather Krueger’s time was running out when a kind stranger, Chris Dempsey, heard of her plight and discovered he was a perfect match. The two met and before long a friendship developed into romance. The movie follows Heather and Chris’ journey over three Christmases as his selfless gesture leads to a Christmas miracle for everyone involved. Based on a true story."
2024,A Sudden Case of Christmas,https://image.tmdb.org/t/p/w500/9ykjCB9yKQolzEMIVH6L16wQo27.jpg,"Family, Comedy",5.793,46,2.0092,2024-11-07,92,0,Peter Chelsom,"Notorious Pictures, Riverstone Pictures, WME Independent","An American couple bring their 10 year old daughter, Claire, to her grandfather Lawrence's hotel in The Dolomites, Italy. They usually come for Christmas but this year it’s August. The fact is they are breaking up, and once Claire realizes there’s not going to be a family Christmas this year, she insists on everyone making it out for Christmas in August. Claire, in collusion with her grandfather, plan activities that are designed to re-unite her parents."
2018,RuPaul's Drag Race Holi-Slay Spectacular,https://image.tmdb.org/t/p/w500/tz7F1rVH9wFAyWKZb3Xx3dKt4rm.jpg,Music,5.279,43,2.0996,2018-12-07,43,0,Nick Murray,World of Wonder,"In this musical extravaganza, RuPaul's Drag Race favorites like Trixie Mattel, Latrice Royale and Shangela return home for the holidays to compete for Christmas Queen."
2015,The Spirit of Christmas,https://image.tmdb.org/t/p/w500/ynWcaW8ZrtBeuzgUyEXR30A2TAT.jpg,"Romance, Drama, Fantasy, TV Movie",7.0,309,2.0889,2015-11-28,91,0,David Jackson,"MarVista Entertainment, Lifetime",A woman falls in love with a man who is somewhat unavailable.
2025,Christmas on Every Page,https://image.tmdb.org/t/p/w500/zEvXAToPiNy2ERTTZkHzs4QqgGI.jpg,"TV Movie, Comedy, Romance",5.0,1,1.905,2025-11-22,88,0,Lisa France,"Christmas Pages Movie, Great American Media","A big-city ad exec visits her hometown to rescue her family's bookstore. Working with a talented local artist on a holiday mural project, she rediscovers both her creative spark and her roots in the community."
2025,Dog Patrol: Operation Santa Paws,https://image.tmdb.org/t/p/w500/eoNJWa84J6DskVZIzaFFZsvZ16e.jpg,"Adventure, Drama, Family",5.0,2,2.0963,2025-11-13,83,0,Josh Webber,Webber Films,"Samuel and his friends along with his trusted dog Athena have to go for the adventure of a lifetime, matching wits with a mob boss to solve Oscar's riddles in order to help Athena save Christmas for the whole town."
2025,Christmas in Midnight Clear,https://image.tmdb.org/t/p/w500/gFJ0aLK7ERCe3CjXemsMG44LjYe.jpg,"TV Movie, Comedy, Romance",7.0,1,1.8352,2025-11-01,88,0,Nicholas Humphries,Midnight Clear Pictures,"Hillary Shaw, a successful corporate real estate developer, arrives in the economically struggling town with decisive plans to acquire every possible property, declare the rest eminent domain, and to modernize the town from the inside out. But when Hillary encounters Daniel Porter, local pastor and multi-generational pillar of the community, her vision faces more than legal challenges. As Hillary and Daniel’s worldviews spark conflict, something deeper begins to blossom."
2012,Holly's Holiday,https://image.tmdb.org/t/p/w500/xqVK1e30rrPh8xUeKaxItOjyRXE.jpg,"Comedy, Romance, Fantasy, TV Movie",5.3,51,1.8846,2012-12-08,90,0,Jim Fall,"Synthetic Filmwerx, Lifetime","A professional in the advertising business, Holly dreams of finding Mr. Right, & getting the ""perfect"" romance. When she meets someone who ~looks the part, she falls hard & fast. But soon she is reminded that appearances can be deceiving, & true love grows in more unexpected places."
2013,Defending Santa,https://image.tmdb.org/t/p/w500/nAiK8Fazx2YUy4b0QFqdK0kVPkr.jpg,"Comedy, Family, TV Movie",6.4,29,1.8448,2013-11-24,87,0,Brian Skiba,"The Cartel, Odyssey Media, Victory Angel Films","Kris Kringle, aka Santa Claus, goes on trial for mental competency in Small Town U.S.A."
2025,Boys Go to Jupiter,https://image.tmdb.org/t/p/w500/3dTnNYq0TZYkTLqRXgHz3OBxcFA.jpg,"Animation, Comedy, Drama, Science Fiction",6.967,15,2.1422,2025-06-26,87,205203,Julian Glander,Glanderco,"A teenager in suburban Florida desperately hustles to make $5,000 in this dreamy and surreal animated coming-of-age story."
2022,Best in Snow,https://image.tmdb.org/t/p/w500/sZ2NEMzcDAGM42BP3TYPzzmoRFO.jpg,"TV Movie, Family",6.0,8,1.7997,2022-11-18,97,0,Sam Wrench,"Six West Media, Milojo Productions","A festive holiday special, hosted by Tituss Burgess, featuring teams from around the world transported to a magical snowy village, Snowdome, and thrown into a spirited competition to compete for the title of Best in Snow."
2001,Prancer Returns,https://image.tmdb.org/t/p/w500/lPEtXRrjuDoCQmUhUz2044MPxn4.jpg,"Comedy, Family",5.472,36,2.0939,2001-11-20,90,0,Joshua Butler,,"This holiday-themed children's film offers a unique take on the legend of Santa Claus and his tiny reindeer. In this movie, a young boy finds a deer in the forest he is sure is Santa's beloved Prancer. Determined to return the creature to the North Pole and his rightful destiny, the child overcomes the cynicism of his family to teach them and us a lesson about the true spirit of Christmas."
2016,Santa Forgot,https://image.tmdb.org/t/p/w500/oc7DI9mHehYWkk0HQGW1VTpRQGb.jpg,Animation,6.0,1,1.6439,2016-11-15,2,0,Åsa Lucander,Aardman,"Santa Forgot, narrated by Stephen Fry, imagines a world where Santa is living with the effects of dementia and no longer visits children on Christmas Eve. But we believe in the power of research to change the future. Do you?"
2017,El Camino Christmas,https://image.tmdb.org/t/p/w500/vwMGs5w9FFokYGkBvlKZ6OmX2vO.jpg,"Comedy, Crime, Drama",5.545,346,2.1867,2017-12-08,89,0,David E. Talbert,Goldenlight Films,"A young man seeking a father he has never met, through no fault of his own, ends up barricaded in a liquor store with five other people on Christmas Eve in the fictitious town of El Camino, NV."
2019,A Merry Christmas Match,https://image.tmdb.org/t/p/w500/a8jfnsl5NQO2vz9Ml3bqRVOrgae.jpg,"Drama, TV Movie, Romance",6.134,41,2.3941,2019-10-25,81,0,Jake Helgren,"The Ninth House, Gaumont, Nicely Entertainment","Corey Calvin lives in a ski village where she works at her late father's local antique shop, having sidelined her her big city dreams of becoming a theater director. When Los Angeles hunk Ryder Donnelly comes into her shop, sparks fly and she starts to wonder what could be."
2008,A Muppets Christmas: Letters to Santa,https://image.tmdb.org/t/p/w500/zDxpOQi7kkokDLxZkVQhejp2VHu.jpg,"Family, Comedy, Adventure, TV Movie",5.9,76,2.2929,2008-12-17,43,0,Kirk R. Thatcher,"The Muppets Studio, Walt Disney Television","When Gonzo forgets to mail three letters to Santa, he convinces Kermit and the gang to help him deliver the notes to the North Pole. Along the way, they discover that Christmas is the time to be with those you care about most, as they dash home to make a friends Christmas wish come true."
2021,The Claus Family 2,https://image.tmdb.org/t/p/w500/k1m0SgH91AtSVcAY9p7dtqh0Pgr.jpg,"Family, Comedy, Fantasy",6.4,81,2.2297,2021-12-07,98,0,Ruben Vandenborre,"Dingie, Dutch Filmworks","Jules Claus has embraced Christmas again and is getting ready for the busiest time of the year together with grandpa Noël. Everything seems to go according to plan, until Jules receives a very special letter with an intriguing question..."
2014,The Christmas Family,https://image.tmdb.org/t/p/w500/7X0gZiJstyxurcyfYY9X7B1UuFq.jpg,"Comedy, Family",5.3,7,1.8975,2014-11-20,90,0,Carsten Rudolf,"Pixy Film, Angel films","'Familien Jul' is a Danish family film, where Hugo's father hates July Neither elves, men or Christmas gifts can get him in the Christmas mood, and he is most happy when the holidays are over.  Nissen Pixy is therefore quite unfortunate as he stays away from the sleigh and left alone at the family Christmas, but fortunately he soon becomes good friends with Hugo. Along with his siblings Hugo tries to save their new friend, but even if no one believes in elves, they are still difficult mighty hard to hide ."
2012,Switchmas,https://image.tmdb.org/t/p/w500/wSBCy6Q9nM2DffnRVPZwRJyJclD.jpg,"Comedy, Family",5.382,17,2.0258,2012-04-01,100,0,Sue Corcoran,Von Piglet Productions,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA."
2011,Annie Claus Is Coming to Town,https://image.tmdb.org/t/p/w500/2FQRruQv8oovcDu1etIdXC3IhFb.jpg,"TV Movie, Family, Fantasy, Comedy, Romance",6.3,40,2.1987,2011-12-10,83,0,Kevin Connor,"PixL Entertainment, Larry Levinson Productions","This year, Santa’s daughter takes her first trip away from the North Pole during the Christmas season hoping to find adventure and love in sunny California. While Santa watches his daughter through a magic snow globe, Annie arrives in L.A. and becomes friends with the owner of Candy Cane Inn, Lucy, and her daughter, Mia. She also quickly lands a job at Wonderland Toys. Wonderland Toys’ owner, Ted is struggling to stay in business selling old-fashioned toys in a digital world. Annie soon realizes that she wants Ted’s business to thrive because she has feelings for this Christmas traditionalist."
2007,How About You...,https://image.tmdb.org/t/p/w500/dXqjA5CxL2RksY9J8clZhUjxQ2A.jpg,"Comedy, Drama",6.264,36,1.5835,2007-11-16,100,706000,Anthony Byrne,"Ferndale Films, Sarah Radclyffe Productions, Lipsync Productions","A young woman, struggling with the direction of her life, spends Christmas watching over a retirement home filled with demanding residents."
2025,Invisible,https://image.tmdb.org/t/p/w500/ahC1cTIsFoWkN3b6bpUegpRqqSv.jpg,"Animation, Comedy, Drama",0.0,0,1.5347,2025-11-20,4,0,Oliver Garland,Publicis Ímpetu,"A group of colleagues begins the traditional “Secret Santa” game. That simple gesture sets off an emotional journey through Montevideo, highlighting different corners of the city while celebrating the value of gathering, friendship, and the small traditions that bring people together. The short film emphasizes that what truly matters isn’t the gift, but the chance to be together again."
1995,The Christmas Ferry,https://image.tmdb.org/t/p/w500/kTHDyUH59UGxzTV4djLwXN9nhyP.jpg,"Comedy, Music",5.0,2,1.7856,1995-12-01,108,0,Hans-Erik Saks,TV 2,"A crazy, strange story about a ferry crew in western Norway and three Cubans in a shipwreck. While the ferry crew is fighting to avoid that the ferry M/F ""Svelå"" will be closed down, the Cubans who live in a shipwreck on the seabed are desperately trying to get in touch with the crew.  Movie version, edited from the original 24 episode series."
2014,"Nativity 3: Dude, Where's My Donkey?!",https://image.tmdb.org/t/p/w500/19Noi6WCSFZJ5YVS6mlSWpiVeXX.jpg,"Comedy, Family",4.5,55,1.8384,2014-11-14,109,0,Debbie Isitt,"Mirrorball Films, BBC Film, Entertainment One","This Christmas the pupils of St Bernadette's and their much-loved, madcap teacher Mr. Poppy are back for their biggest adventure yet involving fantastic flashmobs, excitable elves, Christmas carols and of course Archie the donkey! When their new teacher Mr. Shepherd loses his memory and forgets all about Christmas, as well as his fiancée Sophie and the whereabouts of the beloved Archie, it's up to the pupils of St Bernadette's to save the day. Led by the ever enthusiastic Mr Poppy, they embark on a Christmas journey like never before - but time is against them if they are to help Mr Shepherd get to New York in time for his magical yuletide wedding!"
2004,A Christmas Carol,https://image.tmdb.org/t/p/w500/2KMxnbPZilgwF5N1rs6zmpwyVyG.jpg,"Drama, Fantasy, TV Movie",6.386,57,2.1963,2004-11-28,87,0,Arthur Allan Seidelman,Hallmark Entertainment,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
2018,Christmas Break-In,https://image.tmdb.org/t/p/w500/qZmPodMlyRNOHrVPYLTGehM2s3q.jpg,Family,5.705,61,1.8935,2018-12-27,87,0,Michael Kampa,G It's Entertainment,"Izzy is an energetic 9-year-old. Overscheduled and running late, Izzy's parents can't pick her up on-time the last day of school before Christmas break. A blizzard complicates the matter, but not as much as a pair of bad guys who are freezing in an ice cream truck. The school's janitor is kidnapped by the intruders, and it's up to Izzy to save the day."
2013,Fir Crazy,https://image.tmdb.org/t/p/w500/dzZQ3z0cjvyfLJi9Y9RESJs8l1F.jpg,"Comedy, Romance, TV Movie",5.9,67,2.026,2013-12-12,87,0,Craig Pryce,,"When marketing executive Elise MacKenzie decides to help sell Christmas trees at her family’s Christmas tree lot, she discovers a newfound fondness for the holidays. But all could be lost when the store owner who hosts the tree lot on his block wants to shut it down, and it’s up to Elise to find a way to rekindle his Christmas Cheer."
1996,Fergismajniht: Forget Me Not,https://image.tmdb.org/t/p/w500/5nKysNo3Y8w7tlmdIA7GvisLiUj.jpg,"Drama, TV Movie, Romance",8.0,1,1.7317,1996-01-01,87,0,Jakov Sedlar,"Hrvatska Radiotelevizija, Croatia Film","Christmas Eve, 1995. Two best friends meet up to spend their holidays together after a long period of absence. Whilst reminiscing about the coming of age in late 1950s Zagreb, they remember a mysterious woman they both fell in love with during that time."
2024,A Cinderella Christmas Ball,https://image.tmdb.org/t/p/w500/iS4MXjwNEhA5pqfQDz0cP43zRul.jpg,"Romance, Comedy",6.1,34,1.8472,2024-11-29,86,0,Don McBrearty,"Brad Krevoy Television, Motion Picture Corporation of America, HP Royal Ball Productions","Chelsea Jones, a Chicago-based dance instructor whose adoptive parents have long since passed, travels to the small European country of Havenshire over Christmas break in search of her heritage… and maybe even family. Discovering that the only way to get access to information she needs on her quest is via the royal family, she accepts an offer to teach a very reluctant Prince a special Waltz for the traditional Royal Christmas Ball."
2018,Christmas in Love,https://image.tmdb.org/t/p/w500/iDK96L8yN092QuRbfVqFUmT2FnS.jpg,"TV Movie, Romance, Family, Comedy",5.985,67,2.0217,2018-12-23,90,0,Don McBrearty,"HP Christmas Jingle Productions, Hideaway Pictures, Motion Picture Corporation of America","Ellie Hartman is an aspiring crafter working in her small town’s bakery making famous Christmas Kringles. When the new, big-city CEO Nick Carlingson visits the bakery, he arrives filled with modernization ideas destined to lay off many employees."
2023,A Biltmore Christmas,https://image.tmdb.org/t/p/w500/zwlauOMw8cqRrl8CFbJ0a4KG38i.jpg,"Romance, Fantasy, TV Movie",6.951,72,1.9423,2023-11-26,84,0,John Putch,"Hallmark Media, Team 2 Entertainment, Synthetic Cinema International","Contemporary screenwriter Lucy Hardgrove is hired to pen the remake of the holiday classic His Merry Wife!, which was shot at the renowned Biltmore Estate. Taking a tour of the grounds, she accidentally knocks over an hourglass, transporting her back in time to 1946, right when His Merry Wife! is being filmed."
2018,Christmas in Evergreen: Letters to Santa,https://image.tmdb.org/t/p/w500/c7sbYi97TdjSPwUboF802yWidPP.jpg,"Family, Romance, TV Movie",6.8,62,2.0993,2018-11-18,90,0,Sean McNamara,"Front Street Pictures, Hallmark Media","Lisa's trip home to Evergreen for the holidays finds her shepherding an effort to save the town's beloved general store, fulfilling the wishes of a Christmas past and finding a romance full of Christmas magic."
2013,Catch a Christmas Star,https://image.tmdb.org/t/p/w500/40nMble3uFagwJ7ffagvefbcKCJ.jpg,"Family, Romance, TV Movie",6.4,56,2.2246,2013-11-17,84,0,John Bradshaw,"Chesler/Perlmutter Productions, Hallmark Media, Red Arrow Studios International","Nikki Crandon is one of the biggest pop stars on the planet. Whether she's singing the National Anthem or promoting her latest album, everyone knows who she is—none more so than New Jersey high school basketball coach and widower Chris Mitchell, who was Nikki's first love in high school. When Chris' 10-year-old daughter Sophie finds out her dad still has feelings for the singer, she takes matters into her own hands. With her 8-year-old brother Jackson in tow, Sophie succeeds in reuniting the two. But when a misunderstanding and the growing glare of the public spotlight threaten Chris and Nikki's happiness, one can only wonder: will fame get in the way of a Merry Christmas?"
2020,Christmas Crossfire,https://image.tmdb.org/t/p/w500/ajKpYK7XdzIYjy9Uy8nkgRboKyv.jpg,"Comedy, Crime, Thriller",4.676,94,2.2949,2020-12-04,105,0,Detlev Buck,"DCM Pictures, Boje Buck Produktion GmbH, The Post Republic","A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him."
2018,Hometown Christmas,https://image.tmdb.org/t/p/w500/qj4qzdvYJvObGiz4LotseRwwrtN.jpg,"Romance, TV Movie",6.063,24,2.0253,2018-12-16,90,0,Emily Moss Wilson,,"Back in Louisiana for Christmas, Noelle Collins has big plans to resurrect the town’s live nativity, a beloved tradition that her late mother used to put on. Things become complicated, however, when Noelle runs into her high school sweetheart, Nick Russell, a rising baseball star also back home due to a recent injury. Still feeling the burn from their senior year break-up, their lives are pushed together even further when they learn their parents share an attraction and want to be more than just friends. When things begin to fall apart with the live nativity, Nick and Noelle reluctantly team up to pull off the show and find themselves growing close, uncovering a hometown love for each other and the joy of Christmas that both never really faded away."
2017,Enchanted Christmas,https://image.tmdb.org/t/p/w500/tWR2JcvR8uWNhzze03Q7ZXMwsgH.jpg,"Romance, TV Movie",6.3,53,2.0329,2017-11-12,84,0,Terry Cunningham,,"Weeks before Christmas, interior designer Laura is sent to her hometown of Santa Fe, New Mexico to remodel a landmark hotel. As Laura is kept busy with the renovations, her 8-year-old daughter Nicole is introduced to the art of salsa dancing at a local dance studio. Laura is surprised to find that the studio’s owner is Ricardo, her old high school sweetheart and former salsa dance partner. When Laura and Ricardo reconnect, sparks fly on and off the dance floor. The beautiful Christmas traditions of New Mexico become the backdrop for spirited dancing and unexpected romance."
2022,A Magical Christmas Village,https://image.tmdb.org/t/p/w500/reNCBGdwXnjSUDLFWpHmQFkCOp.jpg,"TV Movie, Comedy, Romance",6.321,28,1.7253,2022-11-13,84,0,Jason Furukawa,"Lighthouse Pictures, Hallmark Media","When Summer’s mother Vivian moves in with her and her young daughter Chloe, her orderly existence is upended. Upon arrival, Vivian sets up an heirloom, miniature Christmas village resembling their town, and tells Chloe it grants Christmas wishes. As Chloe begins setting up the figurines, real-life events seem to mimic the scenes she creates. With a little help from the magic of the Christmas village, the family will be brought closer together and just maybe, Summer will learn to open her heart to love again."
2011,Holiday Engagement,https://image.tmdb.org/t/p/w500/4yM1krPnjkWhIOmrY33mVQgSwXJ.jpg,"Comedy, Romance, TV Movie",5.861,108,1.7527,2011-11-28,92,0,Jim Fall,"Tim Johnson Productions, Johnson Production Group, ITV Global Entertainment","Thirty-something Hillary Burns has spent her life trying to get the approval of her parents, in the shadow of her more successfully-attached siblings. So when Hillary's fiance, workaholic lawyer Jason King, dumps her because she isn't willing to relocate for his potential promotion, she panics because she had been promising to bring him home to meet her expectant family, whom she does not want to let down! As a last-minute idea, her best friend Sophie convinces her to actually hire someone to ""play the role"" of Jason for her return home on Thanksgiving.. leading to an interesting combination of sparks & revelations for all involved."
2012,Desperately Seeking Santa,https://image.tmdb.org/t/p/w500/8TEdwCxgtPUq3VLvvjmaGlwaHL6.jpg,"Romance, TV Movie",5.91,50,1.8607,2012-11-07,87,0,Craig Pryce,Muse Entertainment,"Jennifer, a young, ambitious executive running promotions at a failing Boston mall comes up with a genius promotional gimmick to save her workplace and position herself for advancement: hold a ""Hunky Santa"" contest to replace the old Mall Santa. David, a local man trying to save his family's pizzeria, ultimately wins the contest and sparks fly between him and Jennifer. However, complications ensue when it comes to light that the company Jennifer works for is the same one trying to run David's family out of business."
2024,Final Wager,https://image.tmdb.org/t/p/w500/7fA3Ms1KvTjvMIjsKy1de9ACjvN.jpg,"Comedy, Drama, Thriller",2.0,2,1.7932,2024-05-07,0,0,Kenny Yates,"Toni Nycole Entertainment, MRP Entertainment, KAYJ Entertainment","Former sports gambling addict Chance needs $60,000 to save his mother from nursing home eviction. So he falls back into his old habits, only to learn he's never lost a bet on Christmas. Is this the Christmas miracle he's been waiting for? Or just an addict who can't control himself?"
2023,How to Fall in Love by Christmas,https://image.tmdb.org/t/p/w500/IGcAAhIggmT5ilLJewh5bTYlMe.jpg,"TV Movie, Comedy, Romance",5.933,15,2.1718,2023-12-21,88,0,Michael Kennedy,"Reel One Entertainment, CME Winter Productions, Champlain Media","A beloved writer-turned-CEO of her own Goop-like lifestyle brand, Prism, must secure a partnership with Singled Out to save her company, but the only way to appease them is for her to write a column on falling in love by Christmas with the help of the charming and handsome photographer who has been assigned to the piece."
2011,Dear Santa,https://image.tmdb.org/t/p/w500/1UDzXg6R7K26aBjMpxk9WbQTrpm.jpg,"Family, Comedy, Drama, Romance, TV Movie",6.3,99,1.8095,2011-08-11,90,0,Jason Priestley,"Nomadic Pictures, Annuit Coeptis Entertainment Inc., Lifetime","Crystal, a rich party girl, finds a little girl's letter to Santa asking for a new mother, and she vows to win over the father and daughter before the holidays."
2020,Deliver by Christmas,https://image.tmdb.org/t/p/w500/uFCTa0dj4xJu2RotzrXTTXSkhkf.jpg,"Romance, TV Movie",6.486,35,1.9133,2020-10-25,84,0,Terry Ingram,Muse Entertainment,"Bakery owner Molly meets Josh, a widower who recently moved to town with his young son, but she is also charmed by a mysterious client whom she’s never met in person and she doesn’t realize that they’re the same man."
